raw_row_number,attendance_id,column,error_type,expected_action
150,ATT006422,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
153,ATT005837,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
153,ATT005837,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
154,ATT018294,gp_practice_code,malformed_gp_code,set to NULL and flag
157,ATT007176,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
162,ATT017600,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
164,ATT013915,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
164,ATT013915,triage_category,triage_decimal_format,fix (3.0 -> 3)
165,ATT004230,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
166,ATT001806,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
170,ATT014064,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
171,ATT014601,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
178,ATT000929,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
180,ATT013024,triage_category,invalid_triage_code,reject
181,ATT002178,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
183,ATT018655,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
185,ATT011737,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
187,ATT009768,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
188,ATT017803,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
190,ATT017179,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
193,ATT014185,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
194,ATT008766,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
197,ATT011711,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
198,ATT002248,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
199,ATT010497,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
201,ATT007999,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
203,ATT010105,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
204,ATT009394,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
207,ATT011038,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
211,ATT006240,disposition,missing_disposition,fill with 'Unknown'
212,ATT016874,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
212,ATT016874,departure_time,missing_departure_time,reject
214,ATT017094,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
217,ATT004352,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
218,ATT006869,arrival_time,missing_arrival_time,reject
222,ATT003231,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
223,ATT004573,triage_category,invalid_triage_code,reject
227,ATT013015,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
227,ATT013015,pseudo_patient_id,missing_patient_id,reject
229,ATT010335,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
230,ATT015684,departure_time,departure_before_arrival,reject
230,ATT015684,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
232,ATT000035,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
233,ATT007667,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
234,ATT013665,pseudo_patient_id,missing_patient_id,reject
235,ATT018011,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
238,ATT003170,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
239,ATT016313,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
241,ATT006144,triage_category,invalid_triage_code,reject
243,ATT003335,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
249,ATT004578,departure_time,missing_departure_time,reject
251,ATT016954,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
252,ATT010408,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
253,ATT013409,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
256,ATT013497,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
258,ATT005889,gp_practice_code,malformed_gp_code,set to NULL and flag
262,ATT007186,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
263,ATT019405,pseudo_patient_id,missing_patient_id,reject
267,ATT000219,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
268,ATT018062,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
269,ATT016722,gp_practice_code,gp_code_lowercase,fix (upper-case)
271,ATT004752,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
272,ATT017029,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
276,ATT017322,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
277,ATT007177,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
281,ATT019194,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
286,ATT016747,gp_practice_code,malformed_gp_code,set to NULL and flag
289,ATT015919,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
291,ATT005223,gp_practice_code,malformed_gp_code,set to NULL and flag
299,ATT010116,gp_practice_code,missing_gp_code,set to NULL and flag
301,ATT014628,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
302,ATT009210,gp_practice_code,missing_gp_code,set to NULL and flag
306,ATT000439,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
307,ATT010870,departure_time,extreme_length_of_stay,reject
307,ATT010870,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
308,ATT002623,gp_practice_code,gp_code_lowercase,fix (upper-case)
310,ATT001203,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
313,ATT016886,departure_time,missing_departure_time,reject
313,ATT016886,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
314,ATT006384,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
315,ATT009365,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
316,ATT014014,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
319,ATT010791,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
320,ATT005305,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
320,ATT005305,gp_practice_code,missing_gp_code,set to NULL and flag
324,ATT011995,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
326,ATT018363,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
327,ATT012069,disposition,missing_disposition,fill with 'Unknown'
328,ATT006495,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
333,ATT006062,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
335,ATT015799,departure_time,extreme_length_of_stay,reject
336,ATT008483,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
339,ATT007982,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
342,ATT011033,departure_time,missing_departure_time,reject
343,ATT016981,pseudo_patient_id,missing_patient_id,reject
343,ATT016981,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
344,ATT010889,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
345,ATT007450,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
351,ATT002704,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
351,ATT002704,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
354,ATT016132,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
356,ATT000829,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
356,ATT000829,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
357,ATT010102,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
358,ATT010390,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
360,ATT019653,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
362,ATT007597,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
368,ATT004848,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
371,ATT005459,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
374,ATT019806,gp_practice_code,missing_gp_code,set to NULL and flag
376,ATT002208,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
380,ATT004936,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
385,ATT015334,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
386,ATT013446,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
388,ATT004388,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
395,ATT013149,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
396,ATT000475,arrival_time,missing_arrival_time,reject
396,ATT000475,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
400,ATT004630,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
402,ATT002421,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
403,ATT013034,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
404,ATT013087,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
407,ATT019265,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
412,ATT014953,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
425,ATT014000,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
426,ATT019704,gp_practice_code,gp_code_lowercase,fix (upper-case)
427,ATT016291,gp_practice_code,missing_gp_code,set to NULL and flag
428,ATT015679,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
431,ATT016962,triage_category,triage_decimal_format,fix (3.0 -> 3)
434,ATT013752,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
436,ATT016842,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
437,ATT010224,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
440,ATT006070,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
440,ATT006070,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
443,ATT012825,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
444,ATT017835,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
445,ATT001535,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
448,ATT018371,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
449,ATT017502,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
451,ATT001403,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
452,ATT008824,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
459,ATT014419,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
461,ATT016039,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
462,ATT011154,gp_practice_code,malformed_gp_code,set to NULL and flag
463,ATT012549,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
463,ATT012549,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
464,ATT005024,disposition,missing_disposition,fill with 'Unknown'
465,ATT011608,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
467,ATT001298,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
468,ATT010980,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
468,ATT010980,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
471,ATT010647,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
472,ATT008234,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
473,ATT018180,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
474,ATT018373,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
475,ATT016756,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
475,ATT016756,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
478,ATT015873,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
479,ATT007338,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
480,ATT004557,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
480,ATT004557,gp_practice_code,missing_gp_code,set to NULL and flag
480,ATT004557,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
481,ATT005790,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
484,ATT006452,triage_category,invalid_triage_code,reject
485,ATT004473,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
485,ATT004473,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
485,ATT004473,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
487,ATT007914,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
487,ATT007914,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
488,ATT006910,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
490,ATT014873,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
490,ATT014873,triage_category,invalid_triage_code,reject
490,ATT014873,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
492,ATT012048,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
494,ATT012351,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
500,ATT006704,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
501,ATT001494,gp_practice_code,missing_gp_code,set to NULL and flag
503,ATT002190,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
506,ATT004981,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
509,ATT013103,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
513,ATT016514,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
517,ATT005273,disposition,missing_disposition,fill with 'Unknown'
517,ATT005273,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
518,ATT011276,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
520,ATT002091,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
522,ATT010070,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
523,ATT015605,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
525,ATT005228,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
529,ATT006024,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
529,ATT006024,gp_practice_code,missing_gp_code,set to NULL and flag
530,ATT015158,triage_category,invalid_triage_code,reject
531,ATT002154,gp_practice_code,missing_gp_code,set to NULL and flag
531,ATT002154,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
534,ATT013913,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
536,ATT018405,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
544,ATT009163,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
545,ATT012075,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
552,ATT005602,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
554,ATT013237,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
554,ATT013237,pseudo_patient_id,missing_patient_id,reject
554,ATT013237,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
555,ATT009594,arrival_time,future_dated_attendance,reject
556,ATT009913,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
557,ATT001444,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
557,ATT001444,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
558,ATT016671,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
560,ATT003459,triage_category,triage_decimal_format,fix (3.0 -> 3)
563,ATT004679,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
563,ATT004679,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
566,ATT002406,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
567,ATT011052,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
571,ATT009023,departure_time,departure_before_arrival,reject
571,ATT009023,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
572,ATT004526,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
572,ATT004526,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
573,ATT005501,arrival_time,missing_arrival_time,reject
577,ATT011974,disposition,missing_disposition,fill with 'Unknown'
578,ATT006516,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
580,ATT012851,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
581,ATT007802,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
582,ATT013379,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
588,ATT000448,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
589,ATT002335,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
590,ATT018789,departure_time,missing_departure_time,reject
590,ATT018789,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
591,ATT017763,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
592,ATT003101,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
597,ATT008104,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
601,ATT011882,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
603,ATT004901,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
604,ATT010591,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
605,ATT009568,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
608,ATT006229,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
610,ATT009007,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
611,ATT015910,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
613,ATT003572,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
615,ATT003699,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
615,ATT003699,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
620,ATT003980,departure_time,missing_departure_time,reject
620,ATT003980,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
621,ATT017632,triage_category,invalid_triage_code,reject
623,ATT003116,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
625,ATT017862,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
627,ATT007498,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
632,ATT011327,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
632,ATT011327,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
639,ATT001007,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
639,ATT001007,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
640,ATT002394,disposition,missing_disposition,fill with 'Unknown'
644,ATT008553,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
650,ATT008366,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
651,ATT010084,gp_practice_code,missing_gp_code,set to NULL and flag
653,ATT018902,departure_time,missing_departure_time,reject
661,ATT010008,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
661,ATT010008,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
663,ATT013060,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
665,ATT010820,gp_practice_code,missing_gp_code,set to NULL and flag
665,ATT010820,triage_category,triage_decimal_format,fix (3.0 -> 3)
666,ATT008613,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
668,ATT014510,gp_practice_code,missing_gp_code,set to NULL and flag
669,ATT012539,gp_practice_code,missing_gp_code,set to NULL and flag
670,ATT005378,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
671,ATT003526,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
671,ATT003526,triage_category,invalid_triage_code,reject
672,ATT015545,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
674,ATT003697,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
675,ATT015805,gp_practice_code,missing_gp_code,set to NULL and flag
676,ATT006485,arrival_time,missing_arrival_time,reject
678,ATT014577,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
681,ATT014201,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
681,ATT014201,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
683,ATT005679,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
692,ATT014613,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
693,ATT014402,triage_category,invalid_triage_code,reject
695,ATT006199,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
697,ATT000813,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
705,ATT008529,gp_practice_code,malformed_gp_code,set to NULL and flag
705,ATT008529,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
707,ATT016832,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
707,ATT016832,gp_practice_code,missing_gp_code,set to NULL and flag
709,ATT014432,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
709,ATT014432,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
710,ATT000972,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
710,ATT000972,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
712,ATT016426,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
712,ATT016426,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
715,ATT006106,gp_practice_code,missing_gp_code,set to NULL and flag
717,ATT007882,departure_time,departure_before_arrival,reject
719,ATT007072,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
720,ATT007740,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
721,ATT006952,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
722,ATT009490,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
723,ATT012861,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
725,ATT002347,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
727,ATT014798,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
728,ATT005187,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
730,ATT014160,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
733,ATT019964,departure_time,extreme_length_of_stay,reject
739,ATT015128,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
